sort-ID,pez_ID,ID ,shelter-partner ,county,sex-status,sex,altered,female,male,age ,age-formulas,age-months,age-stages-formula,agestages,juvenile,adult,breed ,purebred,large-mix,med-mix,sm-mix,size-formula,size,wt,wt-kg,intake-date,sp-intake-date,long-fur,short-fur,furlength,ticks ,EDTA,4DX-run,lymeseropos,anaseropos,ehrseropos,rickifa,4DX-hw,sum-tbd,tbdpos,multtbd,lyme-CS,lyme-lame,lyme-abnormal-pcv ,lyme-abnormal-urine ,anaplasma-CS,anaplasma-abnormal-pcv ,anaplasma-abnormal-urine ,,ehrlichia-CS,ehlrichia-abnormal-pcv ,ehlrichia-abnormal-plt-count,E.canis_Doyle,E.ewingii_Doyle,E.chaff_Doyle,A.platys_daSilva,A.phag_Draz,B.burg_Barb,Rick_Stenos,R.rick_Kato,Sum_TBD-sero,One-TBD-sero,Multi-TBD-sero,PCR-TBD,SERO+PCR,TBD+HW,ACUTE-only
96,H96,A45313119,Scioto,Scioto,Female,Female,0,1,0,4 y,4,48,Adult,Adult,0,1,mixed breed medium,0,0,1,0,Medium,Medium,36,16.36,8/17/2020,8/17/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,NA,0,0,2,1,1,0,0,0,0
98,H98,A45270460,Scioto,Scioto,Female,Female,0,1,0,4 y,4,48,Adult,Adult,0,1,beagle mix,0,0,1,0,Medium,Medium,32.5,14.77,8/11/2020,8/11/2020,0,1,short,Y,Y,Y,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
101,H101,A45280656,Gallia,Gallia,Female,Female,0,1,0,4 y,4,48,Adult,Adult,0,1,chihuahua mix,0,0,0,1,Small,Small,6.37,2.9,8/12/2020,8/12/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,NA,0,0,0,0,NA,0,0,2,1,1,0,0,0,0
142,H142,A45617926,Jackson,Jackson,Male,Male,0,0,1,4 y,4,48,Adult,Adult,0,1,hound mix,0,0,1,0,Medium,Medium,44,20,9/28/2020,9/22/2020,0,1,short,N,Y,Y,0,0,0,1,0,1,1,0,,,,,,,,,,,,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,NA,0
153,H153,A45880717,Jackson,Jackson,Female,Female,0,1,0,4 y,4,48,Adult,Adult,0,1,amer pit bull,1,1,0,0,Large,Large,52.5,23.86,10/13/2020,10/5/2020,0,1,short,N,Y,Y,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
160,H160,A45579729,Gallia,Gallia,Male,Male,0,0,1,4 y,4,4,Puppy,Puppy,0,1,mixed breed large,0,1,0,0,Large,Large,53,24.09,9/23/2020,9/1/2020,0,1,short,N,Y,N,NA,NA,NA,1,NA,1,1,0,,,,,,,,,,,,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
163,H163,A45972142,Lawrence,Lawrence,Female,Female,0,1,0,4 y,4,48,Adult,Adult,0,1,Lab retriever mix,0,0,1,0,Medium,Medium,44,20,10/26/2020,10/7/2020,0,1,short,N,Y,Y,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,,,,,NA,0,0,NA,0,NA,0,NA,1,1,NA,0,0,NA,0
28,H28,A45020355,Scioto,Scioto,Female,Female,0,1,0,4 y ,4,48,Adult,Adult,0,1,mixed breed medium,0,0,1,0,Medium,Medium,33,15,7/14/2020,6/12/2021,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,H9,A43986017,Lawrence,Lawrence,Male,Male,0,0,1,4 yr,4,48,Adult,Adult,0,1,Husky mix,0,0,1,0,Medium,Medium,43,19.55,3/9/2020,3/3/2020,1,0,Long,N,Y,Y,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
18,H18,A43936746,Lawrence,Lawrence,Male,Male,0,0,1,4 yr,4,48,Adult,Adult,0,1,chihuahua mix,0,0,0,1,Small,Small,17.6,8,3/2/2020,2/28/2020,0,1,short,Y,Y,Y,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,H31,A45020355,Scioto,Scioto,Female,Female,0,1,0,4 yr,4,48,Adult,Adult,0,1,Med mix short hair,0,0,1,0,Medium,Medium,33,15,7/7/2020,6/12/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0
178,H178,A46017595,Scioto,Scioto,Male,Male,0,0,1,4 yr,4,48,Adult,Adult,0,1,Smooth Collie mix,0,1,0,0,Large,Large,54.5,24.77,11/2/2020,11/2/2020,1,0,Long,N,Y,Y,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,,1,0,1,NA,0,0,NA,0,NA,0,NA,3,1,1,0,0,0,0
184,H184,A46032781,Jackson,Jackson,Female,Female,0,1,0,4 yr,4,48,Adult,Adult,0,1,australian shepherd,1,1,0,0,Large,Large,48,21.82,11/4/2020,10/27/2020,1,0,Long,N,Y,Y,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
185,H185,A46032766,Jackson,Jackson,Female,Female,0,1,0,4 yr,4,48,Adult,Adult,0,1,australian shepherd mix,0,1,0,0,Large,Large,55,25,11/4/2020,10/27/2020,1,0,Long,N,Y,Y,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,1,1,0,0,0,0,0
